City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Port Macquarie,AU,-31.4333,152.9167,68.9,65,94,7.23,overcast clouds
235,Sinnamary,GF,5.3833,-52.95,77.32,85,40,10.42,scattered clouds
236,Oranjemund,NA,-28.55,16.4333,75.85,67,98,4.85,overcast clouds
237,Genhe,CN,50.7833,121.5167,14.59,81,100,7.99,overcast clouds
238,Cayenne,GF,4.9333,-52.3333,82.09,56,20,4.61,few clouds
239,Okhotsk,RU,59.3833,143.3,18.72,96,100,5.12,overcast clouds
240,Carbonia,IT,39.1672,8.5222,50.65,81,99,6.49,overcast clouds
241,Tulum,MX,20.2167,-87.4667,83.01,65,19,8.97,few clouds
242,Jaumave,MX,23.4167,-99.3833,86.36,22,0,3.58,clear sky
243,Kitakyushu,JP,33.8333,130.8333,48.18,87,0,4.61,clear sky
244,Derzhavinsk,KZ,51.1,66.3167,6.69,95,100,14.56,overcast clouds
245,Empoli,IT,43.7175,10.9414,48.97,84,13,0.4,few clouds
246,Thompson,CA,55.7435,-97.8558,5.16,51,75,14.97,broken clouds
247,Obera,AR,-27.4871,-55.1199,70.12,99,100,4.16,moderate rain
248,Yakima,US,46.4665,-120.6678,45.84,35,0,5.75,clear sky
249,Bandarbeyla,SO,9.4942,50.8122,75.92,71,100,9.08,overcast clouds
250,Yarim,YE,14.298,44.3779,57.31,44,95,2.08,overcast clouds
251,Wonthaggi,AU,-38.6044,145.5913,56.82,65,99,6.31,overcast clouds
252,Morro Bay,US,35.3658,-120.8499,73.26,52,0,8.01,clear sky
253,Katsuura,JP,35.1333,140.3,54.59,65,82,8.1,broken clouds
254,Bac Lieu,VN,9.285,105.7244,76.71,79,99,12.41,overcast clouds
255,Nemuro,JP,43.3236,145.575,31.28,92,68,10.04,broken clouds
256,Pionerskiy,RU,54.9508,20.2275,24.75,60,71,12.06,broken clouds
257,Diffa,NE,13.3154,12.6113,81.28,22,3,14.92,clear sky
258,Campbell River,CA,50.0163,-125.2446,42.46,65,100,4.61,overcast clouds
259,Lixourion,GR,38.2019,20.4314,45.82,58,63,11.86,broken clouds
260,Ancud,CL,-41.8697,-73.8203,61.23,79,30,5.7,scattered clouds
261,Atambua,ID,-9.1061,124.8925,73.4,89,80,2.77,broken clouds
262,College,US,64.8569,-147.8028,22.98,66,100,11.5,overcast clouds
263,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,11.5,broken clouds
264,Bonavista,CA,48.6499,-53.1147,30.88,82,97,10.38,overcast clouds
265,Tiznit,MA,29.5833,-9.5,54.05,78,1,0.96,clear sky
266,Lucea,JM,18.451,-78.1736,82.26,75,13,9.53,few clouds
267,Deputatskiy,RU,69.3,139.9,-6.25,98,100,0.85,overcast clouds
268,Luderitz,NA,-26.6481,15.1594,72.03,69,91,2.33,overcast clouds
269,Walvis Bay,NA,-22.9575,14.5053,63.55,88,14,2.3,few clouds
270,Mamontovo,RU,52.7055,81.6244,5.04,96,99,5.79,overcast clouds
271,Coihaique,CL,-45.5752,-72.0662,66.81,52,40,9.22,scattered clouds
272,Westport,US,41.1415,-73.3579,48.56,61,99,4.0,overcast clouds
273,Cuamba,MZ,-14.8031,36.5372,70.11,90,100,3.96,overcast clouds
274,Mandalgovi,MN,45.7625,106.2708,26.28,45,9,9.73,clear sky
275,Dubbo,AU,-32.25,148.6167,64.53,72,40,13.8,scattered clouds
276,Kathmandu,NP,27.7167,85.3167,57.42,88,20,2.3,few clouds
277,Ossora,RU,59.2353,163.0719,16.68,85,30,6.35,scattered clouds
278,Methoni,GR,36.8197,21.7049,40.86,70,78,6.64,broken clouds
279,Kutum,SD,14.2,24.6667,69.73,24,80,18.66,broken clouds
280,Viedma,AR,-40.8135,-62.9967,63.32,52,27,12.17,scattered clouds
281,Gazanjyk,TM,39.2446,55.5154,49.51,68,12,5.37,few clouds
282,Eyrarbakki,IS,63.863,-21.1481,41.05,93,100,18.52,overcast clouds
283,Mingshui,CN,36.7167,117.5,54.07,54,0,3.76,clear sky
284,Gryazi,RU,52.4966,39.9359,10.62,83,99,16.58,overcast clouds
285,Karakol,KG,42.4907,78.3936,33.66,57,91,4.05,overcast clouds
286,Mogzon,RU,51.7435,111.9606,-7.26,98,6,1.01,clear sky
287,Kavaratti,IN,10.5669,72.642,82.11,73,1,7.47,clear sky
288,Lalsot,IN,26.5667,76.3333,68.56,34,2,5.32,clear sky
289,Masvingo,ZW,-20.0637,30.8277,63.61,67,68,5.44,broken clouds
290,Olafsvik,IS,64.8945,-23.7142,38.8,92,100,15.14,overcast clouds
291,Ravar,IR,31.2656,56.8055,72.91,25,99,23.4,overcast clouds
292,Chicama,PE,-7.8447,-79.1469,68.54,60,17,10.2,few clouds
293,Usolye,RU,59.4268,56.6808,-10.25,98,55,3.6,broken clouds
294,Asmara,ER,15.3333,38.9333,63.37,43,54,4.05,broken clouds
295,Limon,CR,10.0,-83.0333,84.09,61,0,2.3,clear sky
296,Fort Nelson,CA,58.8053,-122.7002,9.99,44,100,8.05,overcast clouds
297,Mizdah,LY,31.4451,12.9801,50.14,56,100,8.43,overcast clouds
298,Charters Towers,AU,-20.1,146.2667,80.15,79,96,10.13,overcast clouds
299,Hami,CN,42.8,93.45,46.92,44,100,11.63,overcast clouds
300,Hofn,IS,64.2539,-15.2082,44.55,94,100,28.95,light rain
301,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,60,75,13.42,broken clouds
302,Beaverlodge,CA,55.2166,-119.4361,13.35,80,100,5.5,overcast clouds
303,Ilulissat,GL,69.2167,-51.1,-16.76,94,74,5.97,broken clouds
304,Bilma,NE,18.6853,12.9164,72.34,21,15,13.4,few clouds
305,Syamzha,RU,60.0158,41.0614,16.23,95,100,4.97,overcast clouds
306,Saint Simons,US,31.1352,-81.3901,69.85,78,75,0.0,broken clouds
307,Avera,US,33.194,-82.5271,56.37,82,93,8.88,overcast clouds
308,Armidale,AU,-30.5167,151.65,56.26,89,96,5.86,overcast clouds
309,Padang,ID,-0.9492,100.3543,76.73,86,93,3.78,moderate rain
310,Cidreira,BR,-30.1811,-50.2056,75.06,90,92,6.82,overcast clouds
311,Moba,CN,33.2288,105.0179,47.59,94,2,4.7,clear sky
312,Brufut,GM,13.3814,-16.7518,69.89,68,86,6.91,overcast clouds
313,Husavik,IS,66.0449,-17.3389,37.47,87,100,10.4,overcast clouds
314,Boyolangu,ID,-8.1181,111.8935,75.02,92,100,1.95,overcast clouds
