City_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,570,Quang Ngai,VN,65.68,overcast clouds,15.1167,108.8,Central Hotel
237,573,Port Shepstone,ZA,72.79,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
238,581,Tabas,IR,73.06,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
239,583,Atar,MR,74.61,clear sky,20.5169,-13.0499,Oumou Elghoura
240,584,Houma,US,73.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
241,586,Akyab,MM,70.92,clear sky,20.15,92.9,Hotel Memory
242,587,Argelia,CO,69.69,light rain,2.2556,-77.2488,Hotel San Fernando Argelia
243,588,Balotra,IN,74.79,clear sky,25.8333,72.2333,Hotel City Square
244,590,Coruripe,BR,79.34,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
245,591,Bhakkar,PK,67.68,clear sky,31.6253,71.0657,Gorcha Nashaib
246,595,Muriwai Beach,NZ,71.87,scattered clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
247,597,Vung Tau,VN,75.92,overcast clouds,10.346,107.0843,Seaside Resort
248,602,Kaeo,NZ,73.33,broken clouds,-35.1,173.7833,Bushido Lodge
249,608,Coroico,BO,66.49,overcast clouds,-16.1889,-67.7271,Villa Saracena
250,610,Rio Claro,BR,76.37,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
251,612,Bairiki,KI,80.02,light rain,1.3292,172.9752,Tarawa Boutique Hotel
252,613,Barroquinha,BR,74.68,moderate rain,-3.0189,-41.1361,Pousada barroquinha
253,616,Jacareacanga,BR,76.1,broken clouds,-6.2222,-57.7528,Casa do Ian😎
254,621,Sola,VU,83.03,overcast clouds,-13.8833,167.55,Leumerus Bungalows
255,626,Guarapari,BR,77.81,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
256,628,Myanaung,MM,76.48,broken clouds,18.2833,95.3167,Taung Hlay Khar
257,631,Papara,BR,81.68,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
258,632,Januaria,BR,76.62,light rain,-15.4833,-44.3667,Hotel Paraguassu
259,633,Inhambane,MZ,75.76,clear sky,-23.865,35.3833,Oceano
260,637,Bucerias,MX,75.18,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
261,638,Marsabit,KE,71.94,overcast clouds,2.3284,37.9899,Chicho Hotel
262,639,Caucaia,BR,83.03,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
263,641,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
264,643,Catuday,PH,76.39,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
265,644,Ranong,TH,75.97,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
266,649,Mareeba,AU,77.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
267,652,Kawalu,ID,72.01,overcast clouds,-7.3817,108.2082,West Jontor
268,654,Puerto Leguizamo,CO,84.87,overcast clouds,-0.1934,-74.7819,la casona de juancho
269,658,Vite,IN,79.47,overcast clouds,17.2833,74.55,Hotel Dreamland
270,659,Bambanglipuro,ID,75.69,overcast clouds,-7.95,110.2833,Puri Brata
271,660,Boffa,GN,76.5,clear sky,10.1667,-14.0333,Hôtel Niara Belly
272,662,Conceicao Do Araguaia,BR,76.6,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
273,665,Upington,ZA,81.23,broken clouds,-28.4478,21.2561,River Place Manor
274,667,Chowchilla,US,71.02,clear sky,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
275,668,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
276,671,Salvador,SV,82.06,few clouds,13.8333,-88.9167,Chico's Ranch
